fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_cornynj,results_hegarm,results_mckennonk,results_collinsda,results_write_ins,results_absentee_cornynj,results_absentee_hegarm,results_absentee_mckennonk,results_absentee_collinsda,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
48241,Jasper,15389,12543,21,21,Released as a precinct as first report of the night,99,15608,99%,99% reported,edison,10,unknown,,13365,,,12312,2851,180,42,4,10000,2390,120,33,0,2021-02-17T17:12:58Z,61.47898,R+61,Cornyn +61,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48243,Jeff Davis,1286,1025,6,6,Released as a precinct as first report of the night,99,1305,99%,99% reported,edison,10,unknown,,1320,,,767,483,30,6,,601,400,18,6,,2021-02-17T17:13:11Z,22.08398,R+22,Cornyn +22,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48245,Jefferson,92926,82648,140,140,Released as a precinct as first report of the night,98,94739,98%,98% reported,edison,10,unknown,,111555,,,46928,44112,1418,464,4,41745,39438,1090,375,0,2021-02-17T17:13:22Z,3.03037,R+3,Cornyn +3,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48247,Jim Hogg,1844,1311,6,6,Released as a precinct as first report of the night,91,2036,91%,91% reported,edison,10,unknown,,974,,,652,1136,30,26,0,398,882,15,16,0,2021-02-17T17:13:42Z,26.24729,D+26,Hegar +26,democrat,hegarm,texas,2021-05-06T16:48:45.371090Z
48249,Jim Wells,13260,9682,22,22,Released as a precinct as first report of the night,97,13669,97%,97% reported,edison,10,unknown,,4321,,,6957,6025,170,108,0,4980,4531,106,65,0,2021-02-17T17:13:54Z,7.02866,R+7,Cornyn +7,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48251,Johnson,71463,60697,36,36,Released as a precinct as first report of the night,99,72005,99%,99% reported,edison,10,unknown,,51853,,,54403,15474,1217,369,0,46065,13455,916,261,0,2021-02-17T17:14:07Z,54.47434,R+54,Cornyn +54,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48253,Jones,6621,4323,12,12,Released as a precinct as first report of the night,98,6741,98%,98% reported,edison,10,unknown,,3234,,,5546,967,81,27,0,3593,665,48,17,0,2021-02-17T17:14:19Z,69.15874,R+69,Cornyn +69,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48255,Karnes,5089,3575,15,15,Released as a precinct as first report of the night,97,5249,97%,97% reported,edison,10,unknown,,2303,,,3833,1178,58,20,0,2636,890,34,15,0,2021-02-17T17:14:31Z,52.17135,R+52,Cornyn +52,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48257,Kaufman,56471,48231,31,31,Released as a precinct as first report of the night,100,56703,100%,100% reported,edison,10,all,,36321,,,37649,17507,961,352,2,31918,15301,746,266,0,2021-01-08T20:03:55Z,35.66786,R+36,Cornyn +36,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48259,Kendall,26392,23479,11,11,Released as a precinct as first report of the night,100,26438,100%,100% reported,edison,10,unknown,,20363,,,20584,5335,374,99,,18194,4920,294,71,,2021-01-08T20:04:07Z,57.77887,R+58,Cornyn +58,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48261,Kenedy,169,111,6,6,Released as a precinct as first report of the night,87,194,87%,87% reported,edison,10,unknown,,104,,,107,57,4,1,,70,37,3,1,,2021-02-17T17:14:45Z,29.5858,R+30,Cornyn +30,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
