fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hagertyb,results_bradshawm,results_mcleode,results_faparusiy,results_morgank,results_henleyr,results_stansberrye,results_grunauj,results_hilld,results_jamesa,results_hoopers,results_absentee_hagertyb,results_absentee_bradshawm,results_absentee_mcleode,results_absentee_faparusiy,results_absentee_morgank,results_absentee_henleyr,results_absentee_stansberrye,results_absentee_grunauj,results_absentee_hilld,results_absentee_jamesa,results_absentee_hoopers,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
47147,Robertson,32293,0,18,18,Released separately at end; NOT included in cumulative results,96,33717,96%,96% reported,edison,10,all,,17777,,,23877,7530,195,103,121,108,58,58,49,50,144,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:15:09Z,50.62088,R+51,Hagerty +51,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47149,Rutherford,138715,116127,28,28,Released as a precinct as first report of the night,96,143878,96%,96% reported,edison,10,all,,92338,,,80610,53782,1058,681,576,440,244,225,235,304,560,66627,46294,812,513,410,334,183,156,175,219,404,2020-12-16T18:16:03Z,19.34037,R+19,Hagerty +19,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47151,Scott,8352,0,10,10,Released as a precinct as first report of the night,92,9052,92%,92% reported,edison,10,unknown,,4059,,,7307,843,41,16,26,22,51,7,19,7,13,0,0,0,0,0,0,0,0,0,0,0,2020-12-03T14:11:43Z,77.39464,R+77,Hagerty +77,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47153,Sequatchie,6915,0,9,9,Released with cumulative results periodically election night,95,7252,95%,95% reported,edison,10,all,,3896,,,5598,1153,50,21,19,19,15,8,9,14,9,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:16:31Z,64.28055,R+64,Hagerty +64,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47155,Sevier,42703,26359,25,25,Released as a separate subtotal as first report of the night,98,43535,98%,98% reported,edison,10,all,,21134,,,33531,7934,286,125,164,112,104,50,81,219,97,20399,5366,148,62,72,45,63,24,38,100,42,2020-12-16T18:17:19Z,59.94192,R+60,Hagerty +60,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47157,Shelby,373920,293152,166,166,Released as a separate subtotal as first report of the night,98,382055,98%,98% reported,edison,10,unknown,,235670,,,135043,228280,1867,1292,1161,1018,1636,645,591,1029,1358,106753,178493,1355,919,860,751,1337,457,428,762,1037,2021-03-06T23:06:36Z,24.93501,D+25,Bradshaw +25,democrat,bradshawm,tennessee,2021-05-08T13:35:07.935642Z
47159,Smith,8390,0,8,8,Released as a separate subtotal as first report of the night,93,9051,93%,93% reported,edison,10,all,,5310,,,6610,1493,34,20,24,30,14,15,14,20,116,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:22:38Z,60.98927,R+61,Hagerty +61,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47161,Stewart,5940,0,7,7,Released as a precinct as first report of the night,94,6296,94%,94% reported,edison,10,unknown,,3975,,,4697,1075,30,15,20,23,16,18,13,11,22,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:20:28Z,60.97643,R+61,Hagerty +61,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47163,Sullivan,72589,0,25,25,Released as a separate subtotal as first report of the night,98,74357,98%,98% reported,edison,10,all,,48525,,,55506,15710,334,205,186,169,74,95,122,101,87,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:24:07Z,54.82373,R+55,Hagerty +55,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47165,Sumner,89141,0,28,28,Released as a separate subtotal as first report of the night,96,92630,96%,96% reported,edison,10,all,,50299,,,63031,23878,479,340,356,236,135,118,115,157,296,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:24:54Z,43.92255,R+44,Hagerty +44,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47167,Tipton,26047,0,9,9,"As a precinct in the FIRST cumulative report, along with regular precincts",95,27308,95%,95% reported,edison,10,all,,16570,,,19554,5784,164,77,92,98,53,53,57,48,67,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:47:06Z,52.86597,R+53,Hagerty +53,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47169,Trousdale,3641,0,10,10,Released as a separate subtotal as first report of the night,91,3998,91%,91% reported,edison,10,unknown,,2363,,,2741,810,13,9,8,17,5,5,8,8,17,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:04:35Z,53.03488,R+53,Hagerty +53,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47171,Unicoi,7901,0,8,8,Released as a separate subtotal as first report of the night,95,8307,95%,95% reported,edison,10,all,,5666,,,6267,1449,44,17,29,28,17,11,16,13,10,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:47:38Z,60.97962,R+61,Hagerty +61,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47173,Union,7606,0,9,9,Released as a separate subtotal as first report of the night,94,8123,94%,94% reported,edison,10,all,,2568,,,6365,1087,32,16,24,23,18,9,12,12,8,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:27:38Z,69.39258,R+69,Hagerty +69,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47175,Van Buren,2696,0,7,7,Released as a separate subtotal as first report of the night,92,2921,92%,92% reported,edison,10,all,,1663,,,2155,468,17,9,7,11,7,2,6,5,9,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:27:51Z,62.57418,R+63,Hagerty +63,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
