fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_perdued,results_ossoffj,results_hazels,results_write_ins,results_absentee_perdued,results_absentee_ossoffj,results_absentee_hazels,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
13027,Brooks,6976,5024,7,7,Released as a precinct as first report of the night,98,7101,98%,98% reported,edison,10,unknown,,5648,,,4250,2607,119,0,2843,2098,83,0,2021-03-07T02:37:57Z,23.55218,R+24,Perdue +24,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13029,Bryan,21163,17639,10,10,Released as a precinct in the middle of the night,99,21349,99%,99% reported,edison,10,unknown,,11968,,,14067,6497,599,,11545,5641,453,,2021-01-12T21:54:32Z,35.76998,R+36,Perdue +36,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13031,Bulloch,29793,20488,16,16,Other,99,30109,99%,99% reported,edison,10,unknown,,19275,,,18232,10846,715,,11643,8402,443,,2021-01-12T21:54:43Z,24.79106,R+25,Perdue +25,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13033,Burke,10560,7115,16,16,None,99,10685,99%,99% reported,edison,10,unknown,,6829,,,5407,4989,164,,3473,3541,101,,2021-01-12T21:54:51Z,3.95833,R+4,Perdue +4,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13035,Butts,11690,10446,1,1,Released as a precinct as first report of the night,99,11776,99%,99% reported,edison,10,unknown,,10779,,,8329,3129,215,17,7504,2756,186,0,2021-01-13T17:05:58Z,44.48246,R+44,Perdue +44,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13037,Calhoun,2172,1528,5,5,Merged into voters' home precincts and released with cumulative results,99,2198,99%,99% reported,edison,10,unknown,,1318,,,933,1211,28,,652,863,13,,2020-12-05T00:00:22Z,12.79926,D+13,Ossoff +13,democrat,ossoffj,georgia,2021-05-09T20:05:54.175111Z
13039,Camden,23349,18420,14,14,"As a precinct in the FIRST cumulative report, along with regular precincts",99,23698,99%,99% reported,edison,10,unknown,,14382,,,14987,7467,895,,11488,6321,611,,2021-01-12T21:55:19Z,32.20695,R+32,Perdue +32,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13043,Candler,4370,2250,1,1,Other,99,4431,99%,99% reported,edison,10,unknown,,3010,,,3077,1233,60,0,1508,715,27,0,2020-11-24T13:26:05Z,42.1968,R+42,Perdue +42,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13045,Carroll,53973,39627,28,28,None,99,54502,99%,99% reported,edison,10,unknown,,31790,,,36997,15549,1427,,26122,12579,926,,2021-01-12T21:55:34Z,39.73839,R+40,Perdue +40,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13047,Catoosa,32212,25882,11,11,None,99,32626,99%,99% reported,edison,10,unknown,,21358,,,24571,6599,1004,38,19535,5629,698,20,2021-01-13T17:06:54Z,55.79287,R+56,Perdue +56,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13049,Charlton,4477,3126,8,8,Merged into voters' home precincts and released with cumulative results,98,4568,98%,98% reported,edison,10,unknown,,2992,,,3357,1016,104,,2259,794,73,,2020-12-04T23:32:56Z,52.28948,R+52,Perdue +52,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
