fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_durbinr,results_curranm,results_maloufd,results_wilsonw,results_blackd,results_write_ins,results_absentee_durbinr,results_absentee_curranm,results_absentee_maloufd,results_absentee_wilsonw,results_absentee_blackd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
17109,McDonough,12148,0,31,31,Merged into voters' home precincts and released with cumulative results,99,12285,99%,99% reported,edison,10,unknown,,4725,,,5090,6674,188,88,108,0,0,0,0,0,0,0,2021-01-26T19:08:09Z,13.03918,R+13,Curran +13,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17111,McHenry,162730,0,212,212,Merged into voters' home precincts and released with cumulative results,99,163879,99%,99% reported,edison,10,unknown,,16104,,,73803,80440,3550,3543,1393,1,0,0,0,0,0,0,2021-01-07T18:27:07Z,4.07853,R+4,Curran +4,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17113,McLean,86511,0,70,70,None,99,87002,99%,99% reported,edison,10,unknown,,16888,,,41549,41007,2123,858,974,0,0,0,0,0,0,0,2021-01-26T19:08:23Z,0.62651,D+0.63,Durbin +0.63,democrat,durbinr,illinois,2021-04-29T13:39:24.072007Z
17129,Menard,6845,3038,14,14,Merged into voters' home precincts and released with cumulative results,99,6928,99%,99% reported,edison,10,some,,2304,,,2095,4606,61,35,48,0,1281,1712,15,10,20,0,2021-01-26T19:09:03Z,36.68371,R+37,Curran +37,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17131,Mercer,8744,3204,24,24,"As a subtotal in the FIRST cumulative report, along with regular precincts",98,8893,98%,98% reported,edison,10,unknown,,1397,,,3420,5068,133,71,52,0,1735,1409,30,17,13,0,2021-01-26T19:09:13Z,18.84721,R+19,Curran +19,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17133,Monroe,21015,10254,37,37,Merged into voters' home precincts and released with cumulative results,99,21148,99%,99% reported,edison,10,some,,9262,,,6717,13805,257,95,141,0,4280,5760,99,44,71,0,2021-01-26T19:09:19Z,33.72829,R+34,Curran +34,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17135,Montgomery,13439,0,38,38,Merged into voters' home precincts and released with cumulative results,98,13727,98%,98% reported,edison,10,unknown,,3024,,,4293,8738,191,112,105,0,0,0,0,0,0,0,2021-01-26T19:09:26Z,33.07538,R+33,Curran +33,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17137,Morgan,15155,0,40,40,Merged into voters' home precincts and released with cumulative results,99,15309,99%,99% reported,edison,10,unknown,,2656,,,5548,9213,189,101,104,0,0,0,0,0,0,0,2021-01-26T19:09:32Z,24.18344,R+24,Curran +24,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17139,Moultrie,6676,0,14,14,Merged into voters' home precincts and released with cumulative results,99,6744,99%,99% reported,edison,10,unknown,,2046,,,1816,4650,98,65,47,0,0,0,0,0,0,0,2021-01-26T19:09:43Z,42.45057,R+42,Curran +42,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17141,Ogle,26054,0,52,52,Merged into voters' home precincts and released with cumulative results,99,26272,99%,99% reported,edison,10,unknown,,4760,,,9492,15520,448,367,227,0,0,0,0,0,0,0,2021-01-26T19:09:51Z,23.13656,R+23,Curran +23,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17143,Peoria,83633,53884,169,169,Merged into voters' home precincts and released with cumulative results,100,83973,100%,100% reported,edison,10,unknown,,31962,,,42891,37345,1914,667,816,0,31560,20503,946,415,460,0,2021-01-26T19:09:58Z,6.63135,D+7,Durbin +7,democrat,durbinr,illinois,2021-04-29T13:39:24.072007Z
17145,Perry,9901,0,27,27,Released as a precinct at the end of tabulation,98,10053,98%,98% reported,edison,10,some,,2477,,,3268,6417,87,63,66,0,0,0,0,0,0,0,2021-01-26T19:10:06Z,31.80487,R+32,Curran +32,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17147,Piatt,9758,0,16,16,Merged into voters' home precincts AFTER election night,99,9822,99%,99% reported,edison,10,unknown,,1656,,,3407,6004,157,121,69,0,0,0,0,0,0,0,2021-01-26T19:17:32Z,26.61406,R+27,Curran +27,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17149,Pike,7815,0,31,31,Other,98,7949,98%,98% reported,edison,10,unknown,,1424,,,1837,5785,102,52,39,0,0,0,0,0,0,0,2021-01-26T19:10:14Z,50.51823,R+51,Curran +51,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17151,Pope,2128,0,6,6,Merged into voters' home precincts and released with cumulative results,98,2175,98%,98% reported,edison,10,some,,758,,,520,1573,14,14,7,0,0,0,0,0,0,0,2021-01-26T19:10:21Z,49.48308,R+49,Curran +49,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
