fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hickenlooperj,results_gardnerc,results_doaner,results_doyled,results_evanss,results_write_ins,results_absentee_hickenlooperj,results_absentee_gardnerc,results_absentee_doaner,results_absentee_doyled,results_absentee_evanss,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
08021,Conejos,4269,0,10,10,Other,99,4333,99%,99% reported,edison,10,unknown,,,,,1975,2243,24,18,9,0,0,0,0,0,0,0,2020-12-06T15:45:12Z,6.27782,R+6,Gardner +6,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08023,Costilla,2087,0,8,8,Other,100,2094,100%,100% reported,edison,10,unknown,,,,,1313,713,40,12,9,0,0,0,0,0,0,0,2020-12-06T15:48:19Z,28.7494,D+29,Hickenlooper +29,democrat,hickenlooperj,colorado,2021-05-06T04:33:51.450378Z
08025,Crowley,1741,0,6,6,Other,99,1750,99%,99% reported,edison,10,all,,,,,456,1230,36,12,7,,0,0,0,0,0,,2020-11-24T13:22:50Z,44.45721,R+44,Gardner +44,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08027,Custer,3594,0,3,3,Other,99,3635,99%,99% reported,edison,10,all,,,,,1059,2456,62,10,7,,0,0,0,0,0,,2021-01-12T19:20:49Z,38.87034,R+39,Gardner +39,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08029,Delta,19305,0,20,20,Other,100,19370,100%,100% reported,edison,10,unknown,,,,,5764,13118,308,79,34,2,0,0,0,0,0,0,2021-01-12T19:31:45Z,38.09376,R+38,Gardner +38,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08031,Denver,393102,0,356,356,Other,100,393829,100%,100% reported,edison,10,unknown,,,,,305602,80163,4984,963,1376,14,0,0,0,0,0,0,2021-01-12T19:38:00Z,57.34873,D+57,Hickenlooper +57,democrat,hickenlooperj,colorado,2021-05-06T04:33:51.450378Z
08033,Dolores,1428,0,4,4,Other,99,1449,99%,99% reported,edison,10,all,,,,,338,1064,17,4,4,1,0,0,0,0,0,0,2021-01-12T19:29:03Z,50.84034,R+51,Gardner +51,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08035,Douglas,231565,0,169,169,Other,100,231601,100%,100% reported,edison,10,unknown,,,,,97553,130045,3279,332,350,6,0,0,0,0,0,0,2021-01-26T18:20:55Z,14.03148,R+14,Gardner +14,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08037,Eagle,28748,0,30,30,Other,99,29140,99%,99% reported,edison,10,unknown,,,,,17902,10350,384,53,59,0,0,0,0,0,0,0,2020-12-06T15:45:29Z,26.26965,D+26,Hickenlooper +26,democrat,hickenlooperj,colorado,2021-05-06T04:33:51.450378Z
08041,El Paso,376901,0,291,291,Other,99,378851,99%,99% reported,edison,10,unknown,,,,,152126,212057,9932,1451,1314,21,0,0,0,0,0,0,2021-01-12T19:38:18Z,15.90099,R+16,Gardner +16,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08039,Elbert,18958,0,15,15,Other,100,18983,100%,100% reported,edison,10,unknown,,,,,4257,14340,299,35,26,1,0,0,0,0,0,0,2021-01-12T19:29:10Z,53.18599,R+53,Gardner +53,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08043,Fremont,25364,0,30,30,Other,99,25557,99%,99% reported,edison,10,unknown,,,,,7201,17450,508,129,71,5,0,0,0,0,0,0,2021-01-12T19:32:21Z,40.40766,R+40,Gardner +40,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08045,Garfield,30787,0,27,27,Other,100,30904,100%,100% reported,edison,10,unknown,,,,,14999,15027,598,92,71,0,0,0,0,0,0,0,2020-12-06T15:48:42Z,0.09095,R+0.09,Gardner +0.09,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08047,Gilpin,4175,0,6,6,Other,100,4186,100%,100% reported,edison,10,unknown,,,,,2183,1867,99,15,11,,0,0,0,0,0,,2020-11-24T13:22:59Z,7.56886,D+8,Hickenlooper +8,democrat,hickenlooperj,colorado,2021-05-06T04:33:51.450378Z
