fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_sasseb,results_janicekc,results_write_ins,results_siadekg,results_absentee_sasseb,results_absentee_janicekc,results_absentee_write_ins,results_absentee_siadekg,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
31111,Lincoln,17835,7609,25,25,Released as a precinct as first report of the night,100,17107,100%,100% reported,edison,10,unknown,,6886,,,12679,2626,1417,1113,5464,1655,0,490,2020-12-11T15:34:05Z,56.36669,R+56,Sasse +56,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31113,Logan,450,0,2,2,Released as a precinct at the end of tabulation,100,450,100%,100% reported,edison,10,unknown,,219,,,369,36,23,22,0,0,0,0,2020-12-11T15:34:18Z,74,R+74,Sasse +74,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31115,Loup,458,0,2,2,Released as a precinct at the end of tabulation,100,454,100%,100% reported,edison,10,unknown,,130,,,370,28,39,21,0,0,0,0,2020-12-11T15:34:26Z,72.27074,R+72,Sasse +72,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31119,Madison,16174,0,23,23,Released as a precinct as first report of the night,100,15765,100%,100% reported,edison,10,unknown,,4174,,,11552,2399,1280,943,0,0,0,0,2020-12-11T15:34:48Z,56.59082,R+57,Sasse +57,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31117,McPherson,312,0,1,1,Other,100,302,100%,100% reported,edison,10,unknown,,138,,,260,12,21,19,0,0,0,0,2020-12-11T15:34:37Z,76.60256,R+77,Sasse +77,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31121,Merrick,4329,0,15,15,Released as a precinct as first report of the night,100,4282,100%,100% reported,edison,10,unknown,,3923,,,3242,511,309,267,0,0,0,0,2020-12-11T15:35:45Z,63.08616,R+63,Sasse +63,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31123,Morrill,2650,0,10,10,Released as a precinct as first report of the night,100,2558,100%,100% reported,edison,10,unknown,,1216,,,1870,325,234,221,0,0,0,0,2020-12-11T15:35:52Z,58.30189,R+58,Sasse +58,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31125,Nance,1803,0,7,7,Released as a precinct at the end of tabulation,99,1828,99%,99% reported,edison,10,unknown,,643,,,1353,242,118,90,0,0,0,0,2020-12-11T15:35:16Z,61.61952,R+62,Sasse +62,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31127,Nemaha,3532,0,9,9,Released as a precinct as first report of the night,100,3423,100%,100% reported,edison,10,unknown,,1205,,,2511,524,291,206,0,0,0,0,2020-12-11T15:35:07Z,56.25708,R+56,Sasse +56,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31129,Nuckolls,2352,0,9,9,Released as a precinct as first report of the night,100,2303,100%,100% reported,edison,10,unknown,,470,,,1856,255,134,107,0,0,0,0,2020-12-11T15:36:00Z,68.06973,R+68,Sasse +68,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31131,Otoe,8575,3759,14,14,Released as a precinct as first report of the night,100,8315,100%,100% reported,edison,10,all,,2920,,,5961,1501,658,455,2439,925,185,210,2020-12-11T15:36:10Z,52.01166,R+52,Sasse +52,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31133,Pawnee,1447,0,6,6,Merged into voters' home precincts AFTER election night,100,1429,100%,100% reported,edison,10,unknown,,504,,,1072,217,93,65,0,0,0,0,2020-12-11T15:35:28Z,59.08777,R+59,Sasse +59,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31135,Perkins,1557,829,4,4,Released as a precinct as first report of the night,100,1544,100%,100% reported,edison,10,some,,912,,,1270,138,80,69,666,111,12,40,2020-12-11T15:36:31Z,72.70392,R+73,Sasse +73,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31137,Phelps,5089,0,14,14,Released as a precinct as first report of the night,100,5009,100%,100% reported,edison,10,unknown,,1421,,,3896,488,381,324,0,0,0,0,2020-12-11T15:36:46Z,66.96797,R+67,Sasse +67,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
