fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_blankenshipd,results_hawkinsh,results_kennedya,results_la_rivag,results_write_ins,results_de_la_fuenter,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_blankenshipd,results_absentee_hawkinsh,results_absentee_kennedya,results_absentee_la_rivag,results_absentee_write_ins,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
47143,Rhea,13637,0,12,12,Released as a separate subtotal as first report of the night,100,13637,100%,100% reported,edison,10,all,,7235,,,11050,2369,130,28,23,17,9,3,3,5,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:14:16Z,63.6577,R+64,Trump +64,republican,trumpd,63.6577,11062,60.7,10590,48.86,tennessee,2021-05-06T22:33:22.304595Z
47145,Roane,25917,18957,24,24,"As a precinct in the FIRST cumulative report, along with regular precincts",100,25917,100%,100% reported,edison,10,all,,17291,,,19230,6043,308,143,57,45,43,28,3,17,13542,5053,171,80,32,25,23,19,0,12,2020-12-16T18:46:54Z,50.88166,R+51,Trump +51,republican,trumpd,50.88166,21669,51,21090,41.28,tennessee,2021-05-06T22:33:22.304595Z
47147,Robertson,33717,0,18,18,Released separately at end; NOT included in cumulative results,100,33717,100%,100% reported,edison,10,all,,17777,,,24536,8692,300,60,48,39,17,8,2,15,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:15:09Z,46.99113,R+47,Trump +47,republican,trumpd,46.99113,27113,47.1,26289,35.58,tennessee,2021-05-06T22:33:22.304595Z
47149,Rutherford,143878,62588,28,28,Released as a precinct as first report of the night,100,143878,100%,100% reported,edison,10,all,,92338,,,81480,59341,1853,440,235,280,104,54,4,87,9401,51086,1286,276,182,192,70,35,0,60,2020-12-16T18:16:03Z,15.38734,R+15,Trump +15,republican,trumpd,15.38734,107436,25.9,98848,24.72,tennessee,2021-05-06T22:33:22.304595Z
47151,Scott,9052,0,10,10,Released as a precinct as first report of the night,100,9052,100%,100% reported,edison,10,all,,4059,,,8004,986,32,15,7,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2020-12-03T14:11:42Z,77.52983,R+78,Trump +78,republican,trumpd,77.52983,7123,71.7,6668,54.96,tennessee,2021-05-06T22:33:22.304595Z
47153,Sequatchie,7252,0,9,9,Released with cumulative results periodically election night,100,7252,100%,100% reported,edison,10,all,,3896,,,5855,1298,64,14,5,11,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:16:31Z,62.83784,R+63,Trump +63,republican,trumpd,62.83784,5694,59.5,5142,39.91,tennessee,2021-05-06T22:33:22.304595Z
47155,Sevier,43535,26861,25,25,Released as a separate subtotal as first report of the night,100,43535,100%,100% reported,edison,10,all,,21134,,,33783,8721,402,307,111,57,83,46,2,23,20489,5910,180,135,45,32,37,27,0,6,2020-12-16T18:17:19Z,57.56747,R+58,Trump +58,republican,trumpd,57.56747,36312,61.5,33864,54.83,tennessee,2021-05-06T22:33:22.304595Z
47157,Shelby,382055,299567,166,166,Released as a separate subtotal as first report of the night,100,382055,100%,100% reported,edison,10,unknown,,235670,,,129815,246105,2426,1601,670,577,241,229,172,219,102806,192733,1676,1001,480,390,180,155,0,146,2021-03-06T23:06:36Z,30.43803,D+30,Biden +30,democrat,bidenj,-30.43803,337383,-27.5,371109,-26.08,tennessee,2021-05-06T22:33:22.304595Z
47159,Smith,9051,0,8,8,Released as a separate subtotal as first report of the night,100,9051,100%,100% reported,edison,10,all,,5310,,,7136,1802,62,9,19,11,7,2,0,3,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:22:38Z,58.93271,R+59,Trump +59,republican,trumpd,58.93271,7436,51.2,7087,28.57,tennessee,2021-05-06T22:33:22.304595Z
47161,Stewart,6296,0,7,7,Released as a precinct as first report of the night,100,6296,100%,100% reported,edison,10,unknown,,3975,,,4950,1232,65,12,9,11,6,6,3,2,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:20:28Z,59.05337,R+59,Trump +59,republican,trumpd,59.05337,5299,49.9,5115,17.48,tennessee,2021-05-06T22:33:22.304595Z
