fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
01105,Perry,5230,1202,13,13,"As a precinct in the FIRST cumulative report, along with regular precincts",100,5230,100%,100% reported,edison,10,unknown,,1059,,,1339,3860,24,7,142,1057,3,0,2021-03-07T03:15:15Z,48.20268,D+48,Biden +48,democrat,bidenj,-48.20268,5278,-45.8,6101,-50.19,alabama,2021-04-30T10:30:20.008004Z
01107,Pickens,9668,0,20,20,Released as a precinct as first report of the night,100,9668,100%,100% reported,edison,10,unknown,,456,,,5594,4022,40,12,0,0,0,0,2021-03-07T03:15:20Z,16.25983,R+16,Trump +16,republican,trumpd,16.25983,9542,15.6,9621,6.95,alabama,2021-04-30T10:30:20.008004Z
01109,Pike,13841,1137,35,35,Released as a precinct in the middle of the night,100,13841,100%,100% reported,edison,10,unknown,,910,,,8042,5636,134,29,435,702,0,0,2021-03-07T03:15:25Z,17.38314,R+17,Trump +17,republican,trumpd,17.38314,13168,20,14123,13.65,alabama,2021-04-30T10:30:20.008004Z
01111,Randolph,10837,0,27,27,None,100,10837,100%,100% reported,edison,10,unknown,,1038,,,8559,2203,61,14,0,0,0,0,2021-03-07T03:15:30Z,58.65092,R+59,Trump +59,republican,trumpd,58.65092,10187,53.1,10421,39.79,alabama,2021-04-30T10:30:20.008004Z
01113,Russell,21329,0,19,19,Released as a precinct as first report of the night,100,21329,100%,100% reported,edison,10,all,,1262,,,9864,11228,198,39,0,0,0,0,2020-12-10T01:31:01Z,6.39505,D+6,Biden +6,democrat,bidenj,-6.39505,19256,-1.9,18910,-11.75,alabama,2021-04-30T10:30:20.008004Z
01117,Shelby,114950,0,49,49,"As a precinct in the FIRST cumulative report, along with regular precincts",100,114950,100%,100% reported,edison,10,all,,5451,,,79700,33268,1462,520,0,0,0,0,2020-12-10T01:32:11Z,40.39321,R+40,Trump +40,republican,trumpd,40.39321,101254,49.4,92742,55.41,alabama,2021-04-30T10:30:20.008004Z
01115,St. Clair,44441,0,31,31,None,100,44441,100%,100% reported,edison,10,all,,2192,,,36166,7744,446,85,0,0,0,0,2020-12-10T01:31:51Z,63.95446,R+64,Trump +64,republican,trumpd,63.95446,38400,67.9,35235,65.93,alabama,2021-04-30T10:30:20.008004Z
01119,Sumter,6291,0,13,13,Released as a separate subtotal as first report of the night,100,6291,100%,100% reported,edison,10,unknown,,795,,,1598,4648,37,8,0,0,0,0,2021-03-07T03:15:53Z,48.48196,D+48,Biden +48,democrat,bidenj,-48.48196,6411,-49.4,7030,-54.55,alabama,2021-04-30T10:30:20.008004Z
01121,Talladega,35663,12084,27,27,None,100,35663,100%,100% reported,edison,10,unknown,,1602,,,22235,13138,247,43,5882,6138,58,6,2021-03-07T03:16:35Z,25.50823,R+26,Trump +26,republican,trumpd,25.50823,33407,25.4,33416,15.98,alabama,2021-04-30T10:30:20.008004Z
01123,Tallapoosa,20991,0,28,28,Released as a precinct as first report of the night,100,20991,100%,100% reported,edison,10,unknown,,1203,,,14963,5859,130,39,0,0,0,0,2021-03-07T03:16:29Z,43.37097,R+43,Trump +43,republican,trumpd,43.37097,19486,41.4,18851,32.24,alabama,2021-04-30T10:30:20.008004Z
01125,Tuscaloosa,90172,0,55,55,Other,100,90172,100%,100% reported,edison,10,unknown,,4762,,,51117,37765,927,363,0,0,0,0,2021-03-07T03:16:12Z,14.80726,R+15,Trump +15,republican,trumpd,14.80726,82700,19.3,78772,17.39,alabama,2021-04-30T10:30:20.008004Z
01127,Walker,31170,0,46,46,None,100,31170,100%,100% reported,edison,10,unknown,,1320,,,26002,4834,277,57,0,0,0,0,2021-03-07T03:16:07Z,67.91145,R+68,Trump +68,republican,trumpd,67.91145,29472,67.1,28585,52.8,alabama,2021-04-30T10:30:20.008004Z
01129,Washington,8876,0,20,20,"As a precinct in the FIRST cumulative report, along with regular precincts",100,8876,100%,100% reported,edison,10,unknown,,592,,,6564,2258,45,9,0,0,0,0,2021-03-07T03:16:01Z,48.51284,R+49,Trump +49,republican,trumpd,48.51284,8533,43,8787,31.69,alabama,2021-04-30T10:30:20.008004Z
01131,Wilcox,5903,0,36,36,Released as a precinct as first report of the night,100,5903,100%,100% reported,edison,10,unknown,,931,,,1833,4048,17,5,0,0,0,0,2021-03-07T03:16:48Z,37.52329,D+38,Biden +38,democrat,bidenj,-37.52329,6123,-42.4,6555,-48.65,alabama,2021-04-30T10:30:20.008004Z
01133,Winston,11284,0,19,19,None,100,11284,100%,100% reported,edison,10,unknown,,533,,,10195,974,102,13,0,0,0,0,2021-03-07T03:16:43Z,81.71748,R+82,Trump +82,republican,trumpd,81.71748,10313,81,9728,72.22,alabama,2021-04-30T10:30:20.008004Z
