fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_carrollb,results_la_rivag,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_carrollb,results_absentee_la_rivag,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
17041,Douglas,8760,0,17,17,Merged into voters' home precincts and released with cumulative results,98,8970,98%,98% reported,edison,2,unknown,,1744,,,2335,6227,119,43,10,4,22,0,0,0,0,0,0,0,2020-12-08T16:59:08Z,44.42922,R+44,Trump +44,republican,trumpd,44.42922,8195,45.7,7897,36.77,illinois,2021-01-04T11:36:42.359396Z
17043,DuPage,485064,0,930,930,Merged into voters' home precincts and released with cumulative results,100,474506,100%,100% reported,edison,4,unknown,,159736,,,281222,193611,6249,2490,1115,377,0,0,0,0,0,0,0,0,2020-12-04T18:28:03Z,18.06174,D+18,Biden +18,democrat,bidenj,-18.06174,430674,-14.4,401081,-1.1,illinois,2021-01-04T11:36:42.359396Z
17045,Edgar,8196,0,31,31,Merged into voters' home precincts and released with cumulative results,95,8656,95%,95% reported,edison,4,all,,2528,,,1887,6193,75,28,8,5,0,0,0,0,0,0,0,0,2020-12-08T16:59:30Z,52.53782,R+53,Trump +53,republican,trumpd,52.53782,7899,48.8,7819,32.83,illinois,2021-01-04T11:36:42.359396Z
17047,Edwards,3368,0,12,12,Merged into voters' home precincts and released with cumulative results,92,3670,92%,92% reported,edison,4,all,,874,,,488,2833,31,9,2,3,2,0,0,0,0,0,0,0,2020-12-04T18:29:18Z,69.62589,R+70,Trump +70,republican,trumpd,69.62589,3324,70.5,3228,51.15,illinois,2021-01-04T11:36:42.359396Z
17049,Effingham,19083,0,37,37,Merged into voters' home precincts and released with cumulative results,100,17654,100%,100% reported,edison,4,unknown,,5338,,,3716,15006,232,59,27,9,34,0,0,0,0,0,0,0,2020-12-08T17:37:27Z,59.16261,R+59,Trump +59,republican,trumpd,59.16261,17609,59.9,16613,52.01,illinois,2021-01-04T11:36:42.359396Z
17051,Fayette,10076,0,28,28,Merged into voters' home precincts and released with cumulative results,100,10033,100%,100% reported,edison,6,some,,1970,,,1826,8055,113,36,16,7,23,0,0,0,0,0,0,0,2020-12-08T17:37:48Z,61.82017,R+62,Trump +62,republican,trumpd,61.82017,9591,57.9,8971,34.53,illinois,2021-01-04T11:36:42.359396Z
17053,Ford,6967,0,22,22,Merged into voters' home precincts and released with cumulative results,100,6997,100%,100% reported,edison,4,unknown,,1058,,,1754,5048,100,39,10,2,14,0,0,0,0,0,0,0,2020-12-08T17:44:13Z,47.28003,R+47,Trump +47,republican,trumpd,47.28003,6396,47.9,6006,42.84,illinois,2021-01-04T11:36:42.359396Z
17055,Franklin,18669,0,35,35,None,91,20497,91%,91% reported,edison,2,some,,3605,,,4760,13622,141,82,12,9,43,0,0,0,0,0,0,0,2020-12-08T16:18:04Z,47.46907,R+47,Trump +47,republican,trumpd,47.46907,18711,44.8,17914,16.82,illinois,2021-01-04T11:36:42.359396Z
17057,Fulton,16724,0,57,57,Merged into voters' home precincts and released with cumulative results,97,17278,97%,97% reported,edison,4,unknown,,2166,,,6503,9867,179,92,22,15,46,0,0,0,0,0,0,0,2020-12-04T19:49:22Z,20.11481,R+20,Trump +20,republican,trumpd,20.11481,15797,14.9,15356,-11.04,illinois,2021-01-04T11:36:42.359396Z
17059,Gallatin,2675,266,10,11,Merged into voters' home precincts and released with cumulative results,90,2980,90%,90% reported,edison,4,all,,1011,,,622,2019,18,10,2,3,1,66,197,0,0,2,1,0,2020-12-08T17:38:40Z,52.2243,R+52,Trump +52,republican,trumpd,52.2243,2707,47.5,2573,17.99,illinois,2021-01-04T11:36:42.359396Z
