fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_pierceb,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
36081,Queens,788262,0,1295,1295,Merged into voters' home precincts AFTER election night,100,787860,100%,100% reported,edison,10,all,,,,,569038,212665,2483,2969,705,402,0,0,0,0,0,0,2020-12-15T14:23:12Z,45.20997,D+45,Biden +45,democrat,bidenj,-45.20997,686393,-53.6,595241,-59.16,new-york,2021-04-29T12:39:28.156787Z
36083,Rensselaer,79286,0,87,87,Merged into voters' home precincts AFTER election night,100,79409,100%,100% reported,edison,10,all,,,,,40969,36500,1016,374,386,41,0,0,0,0,0,0,2020-12-15T14:19:37Z,5.63656,D+6,Biden +6,democrat,bidenj,-5.63656,71562,1.4,67990,-12.2,new-york,2021-04-29T12:39:28.156787Z
36087,Rockland,150369,0,277,277,Merged into voters' home precincts AFTER election night,100,150369,100%,100% reported,edison,10,all,,,,,75802,73186,650,323,334,74,0,0,0,0,0,0,2020-12-04T16:04:59Z,1.73972,D+1.7,Biden +1.7,democrat,bidenj,-1.73972,135087,-6.2,124645,-6.71,new-york,2021-04-29T12:39:28.156787Z
36089,Saint Lawrence,44800,0,81,81,Merged into voters' home precincts AFTER election night,100,44907,100%,100% reported,edison,10,all,,,,,19361,24608,437,201,172,21,0,0,0,0,0,0,2020-12-15T14:20:03Z,11.71205,R+12,Trump +12,republican,trumpd,11.71205,39158,8.8,37191,-16.71,new-york,2021-04-29T12:39:28.156787Z
36091,Saratoga,132655,0,196,196,Merged into voters' home precincts AFTER election night,100,132655,100%,100% reported,edison,10,all,,,,,68471,61305,1737,511,580,51,0,0,0,0,0,0,2020-12-15T14:20:13Z,5.40198,D+5,Biden +5,democrat,bidenj,-5.40198,114094,3.2,105510,-2.44,new-york,2021-04-29T12:39:28.156787Z
36093,Schenectady,74862,0,60,60,Merged into voters' home precincts AFTER election night,100,74826,100%,100% reported,edison,10,all,,,,,42465,30741,923,352,345,36,0,0,0,0,0,0,2020-12-15T14:20:40Z,15.66082,D+16,Biden +16,democrat,bidenj,-15.66082,67280,-7.1,64933,-15.83,new-york,2021-04-29T12:39:28.156787Z
36095,Schoharie,15685,0,23,23,Merged into voters' home precincts AFTER election night,100,15710,100%,100% reported,edison,10,all,,,,,5345,9903,282,75,77,3,0,0,0,0,0,0,2020-12-15T14:20:50Z,29.05961,R+29,Trump +29,republican,trumpd,29.05961,14050,32.7,13207,15.45,new-york,2021-04-29T12:39:28.156787Z
36097,Schuyler,9740,0,19,19,Merged into voters' home precincts AFTER election night,100,9766,100%,100% reported,edison,10,all,,,,,3903,5621,130,51,33,2,0,0,0,0,0,0,2020-12-15T14:21:04Z,17.6386,R+18,Trump +18,republican,trumpd,17.6386,8772,22.3,8146,7.45,new-york,2021-04-29T12:39:28.156787Z
36099,Seneca,15608,0,27,27,Merged into voters' home precincts AFTER election night,100,15630,100%,100% reported,edison,10,all,,,,,6914,8329,193,73,92,7,0,0,0,0,0,0,2020-12-15T14:21:14Z,9.06586,R+9,Trump +9,republican,trumpd,9.06586,13980,11,13266,-9.08,new-york,2021-04-29T12:39:28.156787Z
36085,Staten Island,216278,0,289,289,Merged into voters' home precincts AFTER election night,100,216153,100%,100% reported,edison,10,all,,,,,90997,123320,909,662,265,125,0,0,0,0,0,0,2020-12-15T14:23:29Z,14.94512,R+15,Trump +15,republican,trumpd,14.94512,180960,15.1,154176,-2.57,new-york,2021-04-29T12:39:28.156787Z
