fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_blankenshipd,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_blankenshipd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
29093,Iron,4592,0,10,10,Released as a precinct as first report of the night,100,4473,100%,100% reported,edison,2,unknown,,458,,,3596,945,33,11,7,,0,0,0,0,0,,2020-11-24T13:23:04Z,57.73084,R+58,Trump +58,republican,trumpd,57.73084,4269,52.5,4031,14.46,missouri,2020-12-09T08:27:51.293878Z
29095,Jackson,334055,0,148,148,Released as a separate subtotal as first report of the night,97,342735,97%,97% reported,edison,2,unknown,,50123,,,126535,199842,4723,1272,561,1122,0,0,0,0,0,0,2020-11-24T20:40:38Z,21.94459,D+22,Biden +22,democrat,bidenj,-21.94459,304687,-17.3,311577,-19.66,missouri,2020-12-09T08:27:51.293878Z
29097,Jasper,52515,0,47,48,None,100,52157,100%,100% reported,edison,4,all,,7618,,,37714,13539,862,155,52,193,0,0,0,0,0,0,2020-11-24T13:23:07Z,46.03447,R+46,Trump +46,republican,trumpd,46.03447,48326,50.7,45218,41,missouri,2020-12-09T08:27:51.293878Z
29099,Jefferson,116672,32496,54,54,Released as a precinct as first report of the night,100,116629,100%,100% reported,edison,6,all,,15296,,,77046,37523,1635,318,150,,17280,14830,280,65,41,,2020-12-08T21:31:00Z,33.87531,R+34,Trump +34,republican,trumpd,33.87531,106995,35,97611,12.72,missouri,2020-12-09T08:27:51.293878Z
29101,Johnson,23134,0,11,11,None,100,23134,100%,100% reported,edison,6,all,,3445,,,15468,6961,551,66,39,49,0,0,0,0,0,0,2020-11-24T13:23:09Z,36.77272,R+37,Trump +37,republican,trumpd,36.77272,21362,36.5,21021,24.24,missouri,2020-12-09T08:27:51.293878Z
29103,Knox,1856,0,6,7,Released as a precinct as first report of the night,100,1856,100%,100% reported,edison,6,all,,443,,,1486,340,26,0,2,2,0,0,0,0,0,0,2020-11-24T13:23:10Z,61.74569,R+62,Trump +62,republican,trumpd,61.74569,1870,55.5,1957,25.91,missouri,2020-12-09T08:27:51.293878Z
29105,LaClede,16819,0,14,15,Released as a separate subtotal as first report of the night,100,16816,100%,100% reported,edison,4,unknown,,2208,,,13755,2779,180,35,34,36,0,0,0,0,0,0,2020-11-24T13:23:12Z,65.25953,R+65,Trump +65,republican,trumpd,65.25953,16140,64,15362,44.53,missouri,2020-12-09T08:27:51.293878Z
29107,Lafayette,17083,0,14,14,Released as a precinct as first report of the night,100,17083,100%,100% reported,edison,6,all,,2230,,,12262,4470,240,36,30,45,0,0,0,0,0,0,2020-11-24T13:23:13Z,45.6126,R+46,Trump +46,republican,trumpd,45.6126,15975,43.4,15795,26.26,missouri,2020-12-09T08:27:51.293878Z
29109,Lawrence,17930,2912,20,20,Released as a precinct as first report of the night,100,17930,100%,100% reported,edison,6,all,,2240,,,14421,3214,202,39,24,30,1978,904,22,4,2,2,2020-11-24T13:23:14Z,62.50418,R+63,Trump +63,republican,trumpd,62.50418,16811,60.6,15755,46.99,missouri,2020-12-09T08:27:51.293878Z
29111,Lewis,4609,0,7,7,"As a subtotal in the FIRST cumulative report, along with regular precincts",99,4669,99%,99% reported,edison,4,all,,421,,,3553,984,61,6,5,,0,0,0,0,0,,2020-12-08T21:30:59Z,55.73877,R+56,Trump +56,republican,trumpd,55.73877,4480,53.8,4279,27.32,missouri,2020-12-09T08:27:51.293878Z
29113,Lincoln,29017,0,22,22,None,100,26151,100%,100% reported,edison,2,unknown,,2926,,,21848,6607,450,68,44,,0,0,0,0,0,,2020-12-08T21:30:59Z,52.52438,R+53,Trump +53,republican,trumpd,52.52438,25114,50.1,22652,29.13,missouri,2020-12-09T08:27:51.293878Z
29115,Linn,5721,0,19,21,"As a precinct in the FIRST cumulative report, along with regular precincts",98,5854,98%,98% reported,edison,2,unknown,,907,,,4363,1275,69,12,2,,0,0,0,0,0,,2020-12-08T21:30:59Z,53.97658,R+54,Trump +54,republican,trumpd,53.97658,5587,51,5550,23.48,missouri,2020-12-09T08:27:51.293878Z
29117,Livingston,6757,0,12,13,Released as a precinct as first report of the night,100,6727,100%,100% reported,edison,2,unknown,,1254,,,5267,1410,57,13,10,,0,0,0,0,0,,2020-12-08T21:30:59Z,57.08155,R+57,Trump +57,republican,trumpd,57.08155,6421,56.3,6054,34.69,missouri,2020-12-09T08:27:51.293878Z
29121,Macon,7836,0,12,13,None,100,7834,100%,100% reported,edison,6,all,,1174,,,6076,1662,78,11,9,,0,0,0,0,0,,2020-12-08T21:30:58Z,56.32976,R+56,Trump +56,republican,trumpd,56.32976,7631,55.7,7160,33.41,missouri,2020-12-09T08:27:51.293878Z
29123,Madison,5676,0,8,8,None,100,5671,100%,100% reported,edison,6,all,,1022,,,4584,1019,53,13,7,,0,0,0,0,0,,2020-12-08T21:30:58Z,62.80832,R+63,Trump +63,republican,trumpd,62.80832,5321,58.2,4930,33.25,missouri,2020-12-09T08:27:51.293878Z
29125,Maries,4774,709,11,11,Released as a precinct as first report of the night,100,4774,100%,100% reported,edison,6,all,,731,,,3890,814,50,10,5,5,483,216,8,1,0,1,2020-11-24T13:23:22Z,64.43234,R+64,Trump +64,republican,trumpd,64.43234,4500,61.5,4538,41.12,missouri,2020-12-09T08:27:51.293878Z
29127,Marion,13370,0,16,17,None,100,13370,100%,100% reported,edison,6,all,,1762,,,9910,3201,190,28,10,31,0,0,0,0,0,0,2020-11-24T13:23:22Z,50.17951,R+50,Trump +50,republican,trumpd,50.17951,12938,49.7,12158,32.01,missouri,2020-12-09T08:27:51.293878Z
29119,McDonald,9052,1737,19,19,Released as a precinct as first report of the night,100,8966,100%,100% reported,edison,6,all,,1387,,,7465,1439,114,19,15,,1270,449,13,2,3,,2020-12-08T21:30:58Z,66.57092,R+67,Trump +67,republican,trumpd,66.57092,8302,63.5,7817,48.28,missouri,2020-12-09T08:27:51.293878Z
29129,Mercer,1779,0,5,5,Released separately AFTER election night,97,1829,97%,97% reported,edison,2,unknown,,302,,,1541,222,13,1,2,,0,0,0,0,0,,2020-11-24T13:23:23Z,74.14278,R+74,Trump +74,republican,trumpd,74.14278,1745,72.8,1655,54.5,missouri,2020-12-09T08:27:51.293878Z
29131,Miller,12380,0,13,13,None,100,11960,100%,100% reported,edison,2,unknown,,1491,,,10176,2038,133,19,14,,0,0,0,0,0,,2020-12-08T21:30:57Z,65.73506,R+66,Trump +66,republican,trumpd,65.73506,11482,65.6,11019,49.44,missouri,2020-12-09T08:27:51.293878Z
29133,Mississippi,4756,0,8,9,Released as a precinct as first report of the night,100,4756,100%,100% reported,edison,6,all,,568,,,3537,1178,30,7,4,0,0,0,0,0,0,0,2020-11-24T13:21:53Z,49.6005,R+50,Trump +50,republican,trumpd,49.6005,5169,41.4,4920,23.15,missouri,2020-12-09T08:27:51.293878Z
29135,Moniteau,7157,0,10,11,None,100,7155,100%,100% reported,edison,2,unknown,,664,,,5744,1308,88,8,9,,0,0,0,0,0,,2020-12-08T21:30:57Z,61.98128,R+62,Trump +62,republican,trumpd,61.98128,6830,60.2,6443,48.05,missouri,2020-12-09T08:27:51.293878Z
29137,Monroe,4483,0,9,9,Released as a precinct as first report of the night,100,4354,100%,100% reported,edison,2,unknown,,592,,,3477,936,56,8,6,,0,0,0,0,0,,2020-12-08T21:30:57Z,56.68079,R+57,Trump +57,republican,trumpd,56.68079,4156,55.5,4057,28.74,missouri,2020-12-09T08:27:51.293878Z
29139,Montgomery,5772,749,10,10,Released as a precinct at the end of tabulation,100,5770,100%,100% reported,edison,6,all,,530,,,4465,1208,84,12,3,,462,277,7,1,2,,2020-12-08T21:30:57Z,56.42758,R+56,Trump +56,republican,trumpd,56.42758,5429,55.4,5327,32.85,missouri,2020-12-09T08:27:51.293878Z
29141,Morgan,9487,0,11,11,None,100,9241,100%,100% reported,edison,2,unknown,,1498,,,7442,1924,98,10,13,,0,0,0,0,0,,2020-12-08T21:30:56Z,58.1638,R+58,Trump +58,republican,trumpd,58.1638,8821,56.6,8688,34.07,missouri,2020-12-09T08:27:51.293878Z
29143,New Madrid,7248,0,17,19,Released separately AFTER election night,94,7708,94%,94% reported,edison,2,unknown,,581,,,5447,1748,43,7,3,,0,0,0,0,0,,2020-11-24T13:22:02Z,51.03477,R+51,Trump +51,republican,trumpd,51.03477,7357,45.4,7250,20.28,missouri,2020-12-09T08:27:51.293878Z
29145,Newton,28396,6197,23,24,Released as a precinct as first report of the night,100,27874,100%,100% reported,edison,4,all,,4181,,,22090,5793,383,51,15,64,4097,2041,40,5,3,11,2020-11-24T13:22:03Z,57.39189,R+57,Trump +57,republican,trumpd,57.39189,26807,58.1,25083,46.87,missouri,2020-12-09T08:27:51.293878Z
29147,Nodaway,9888,0,19,20,None,97,10208,97%,97% reported,edison,2,unknown,,1334,,,6865,2853,131,25,14,,0,0,0,0,0,,2020-12-08T21:30:56Z,40.57443,R+41,Trump +41,republican,trumpd,40.57443,9458,40.7,8976,26.97,missouri,2020-12-09T08:27:51.293878Z
29149,Oregon,4742,0,7,8,None,97,4891,97%,97% reported,edison,2,unknown,,634,,,3847,823,58,2,9,3,0,0,0,0,0,0,2020-11-24T13:22:06Z,63.77056,R+64,Trump +64,republican,trumpd,63.77056,4668,60.1,4421,33.18,missouri,2020-12-09T08:27:51.293878Z
29151,Osage,7539,0,11,12,Released as a precinct as first report of the night,100,7428,100%,100% reported,edison,2,unknown,,688,,,6425,1037,67,4,6,,0,0,0,0,0,,2020-12-08T21:30:56Z,71.46836,R+71,Trump +71,republican,trumpd,71.46836,7090,68.5,6919,55.73,missouri,2020-12-09T08:27:51.293878Z
29153,Ozark,4870,0,11,11,Released as a precinct as first report of the night,100,4720,100%,100% reported,edison,2,unknown,,795,,,4064,752,32,7,9,6,0,0,0,0,0,0,2020-11-24T13:22:09Z,68.00821,R+68,Trump +68,republican,trumpd,68.00821,4505,64.7,4453,40.85,missouri,2020-12-09T08:27:51.293878Z
29155,Pemiscot,5735,0,23,27,Released as a precinct as first report of the night,86,6637,86%,86% reported,edison,2,unknown,,834,,,4120,1560,45,6,4,,0,0,0,0,0,,2020-12-08T21:30:55Z,44.63819,R+45,Trump +45,republican,trumpd,44.63819,6043,33.4,6335,14.63,missouri,2020-12-09T08:27:51.293878Z
29157,Perry,9447,1647,19,19,Released as a separate subtotal as first report of the night,100,9156,100%,100% reported,edison,4,all,,1120,,,7657,1664,102,18,6,,1127,495,20,5,0,,2020-12-08T21:30:55Z,63.43813,R+63,Trump +63,republican,trumpd,63.43813,8740,61.6,7987,43.63,missouri,2020-12-09T08:27:51.293878Z
29159,Pettis,19096,0,30,31,None,100,18974,100%,100% reported,edison,2,unknown,,3571,,,13854,4783,381,57,21,,0,0,0,0,0,,2020-12-08T21:30:55Z,47.50209,R+48,Trump +48,republican,trumpd,47.50209,18204,46.6,17175,28.75,missouri,2020-12-09T08:27:51.293878Z
29161,Phelps,19557,0,19,20,None,98,20023,98%,98% reported,edison,2,unknown,,3112,,,13480,5637,367,54,19,,0,0,0,0,0,,2020-12-08T21:30:54Z,40.10329,R+40,Trump +40,republican,trumpd,40.10329,18713,42.4,18190,33.52,missouri,2020-12-09T08:27:51.293878Z
