fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
48051,Burleson,8609,6681,14,14,Released as a precinct as first report of the night,100,8609,100%,100% reported,edison,10,unknown,,5572,,,6743,1788,63,15,0,5183,1451,34,13,0,2021-02-22T20:02:48Z,57.55605,R+58,Trump +58,republican,trumpd,57.55605,6960,55,6456,45.94,texas,2021-05-07T13:34:42.935524Z
48053,Burnet,24717,20896,21,21,Released as a precinct as first report of the night,100,24717,100%,100% reported,edison,10,all,,17630,,,18767,5639,268,34,9,15709,4951,205,25,6,2020-11-29T04:26:33Z,53.11324,R+53,Trump +53,republican,trumpd,53.11324,19204,56.5,16796,54.59,texas,2021-05-07T13:34:42.935524Z
48055,Caldwell,14973,12516,32,32,Released as a precinct as first report of the night,100,14973,100%,100% reported,edison,10,unknown,,10580,,,8031,6672,190,47,33,6632,5686,145,32,21,2021-02-22T20:03:02Z,9.07634,R+9,Trump +9,republican,trumpd,9.07634,12178,15.6,11068,11.11,texas,2021-05-07T13:34:42.935524Z
48057,Calhoun,7856,5698,26,26,Released as a precinct as first report of the night,100,7856,100%,100% reported,edison,10,unknown,,5674,,,5641,2148,61,6,0,3879,1771,43,5,0,2021-02-22T20:03:22Z,44.46283,R+44,Trump +44,republican,trumpd,44.46283,6974,36.1,6648,26.08,texas,2021-05-07T13:34:42.935524Z
48059,Callahan,6832,5498,8,8,Released as a precinct as first report of the night,100,6832,100%,100% reported,edison,10,unknown,,4184,,,6012,734,71,15,0,4822,623,43,10,0,2021-02-22T20:03:30Z,77.2541,R+77,Trump +77,republican,trumpd,77.2541,5579,77,5197,69.79,texas,2021-05-07T13:34:42.935524Z
48061,Cameron,114174,95823,104,104,Released as a precinct as first report of the night,100,114174,100%,100% reported,edison,10,unknown,,71585,,,49032,64063,728,336,15,40332,54629,576,276,10,2021-02-22T20:03:42Z,13.16499,D+13,Biden +13,democrat,bidenj,-13.16499,92665,-32.3,76895,-31.05,texas,2021-05-07T13:34:42.935524Z
48063,Camp,5060,4299,5,5,Released as a precinct as first report of the night,100,5060,100%,100% reported,edison,10,unknown,,4295,,,3626,1394,31,7,2,3119,1149,24,5,2,2021-02-22T20:03:55Z,44.11067,R+44,Trump +44,republican,trumpd,44.11067,4542,42.7,4335,33.52,texas,2021-05-07T13:34:42.935524Z
48065,Carson,3122,1936,9,9,Released as a precinct as first report of the night,100,3122,100%,100% reported,edison,10,unknown,,1767,,,2779,297,37,3,6,1681,224,24,2,5,2021-02-22T20:04:08Z,79.50032,R+80,Trump +80,republican,trumpd,79.50032,2964,80,2778,77.72,texas,2021-05-07T13:34:42.935524Z
48067,Cass,13927,10830,19,19,Released as a precinct as first report of the night,100,13927,100%,100% reported,edison,10,unknown,,8478,,,11033,2795,79,17,3,8464,2298,56,10,2,2021-02-22T19:55:23Z,59.15129,R+59,Trump +59,republican,trumpd,59.15129,12344,59.4,11788,49.53,texas,2021-05-07T13:34:42.935524Z
48069,Castro,2083,1106,9,9,Released as a precinct as first report of the night,100,2083,100%,100% reported,edison,10,unknown,,1417,,,1602,466,9,6,0,834,269,2,1,0,2021-02-17T16:43:56Z,54.53673,R+55,Trump +55,republican,trumpd,54.53673,1997,44.5,2119,39.64,texas,2021-05-07T13:34:42.935524Z
