fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
13297,Walton,51098,39524,21,21,Other,100,51098,100%,100% reported,edison,10,unknown,,26750,,,12683,37839,571,5,10538,28640,346,0,2021-01-13T14:32:26Z,49.23089,R+49,Trump +49,republican,trumpd,49.23089,40858,55.9,37612,55.54,georgia,2021-05-04T17:41:56.389976Z
13299,Ware,14189,11110,12,12,Other,100,14189,100%,100% reported,edison,10,all,,9136,,,4169,9903,117,0,3686,7353,71,0,2020-12-04T23:42:05Z,40.41159,R+40,Trump +40,republican,trumpd,40.41159,12184,41.6,11939,33.85,georgia,2021-05-04T17:41:56.389976Z
13301,Warren,2650,2188,1,1,Other,100,2650,100%,100% reported,edison,10,unknown,,1914,,,1468,1166,16,0,1191,987,10,0,2020-12-04T23:42:18Z,11.39623,D+11,Biden +11,democrat,bidenj,-11.39623,2334,-13.8,2526,-21.34,georgia,2021-05-04T17:41:56.389976Z
13303,Washington,9480,6872,8,8,None,100,9480,100%,100% reported,edison,10,unknown,,6994,,,4743,4668,66,3,3654,3177,41,0,2021-01-13T14:32:36Z,0.79114,D+0.79,Biden +0.79,democrat,bidenj,-0.79114,8485,-0.6,8808,-7.71,georgia,2021-05-04T17:41:56.389976Z
13305,Wayne,12782,9779,12,12,None,100,12782,100%,100% reported,edison,10,unknown,,8427,,,2688,9987,104,3,2225,7485,69,0,2021-03-07T03:09:42Z,57.10374,R+57,Trump +57,republican,trumpd,57.10374,10440,58.5,10269,48.31,georgia,2021-05-04T17:41:56.389976Z
13307,Webster,1391,1109,1,1,Released as a precinct as first report of the night,100,1391,100%,100% reported,edison,10,unknown,,994,,,640,748,3,0,497,609,3,0,2020-12-04T23:43:20Z,7.7642,R+8,Trump +8,republican,trumpd,7.7642,1116,14.1,1187,1.6,georgia,2021-05-04T17:41:56.389976Z
13309,Wheeler,2285,1645,2,2,None,100,2285,100%,100% reported,edison,10,unknown,,293,,,689,1583,13,0,492,1145,8,0,2020-12-04T23:48:07Z,39.12473,R+39,Trump +39,republican,trumpd,39.12473,2102,36.9,2160,27.5,georgia,2021-05-04T17:41:56.389976Z
13311,White,14831,10910,11,11,Released as a precinct at the end of tabulation,100,14831,100%,100% reported,edison,10,unknown,,8221,,,2411,12222,183,15,2039,8768,103,0,2021-01-13T14:32:55Z,66.15198,R+66,Trump +66,republican,trumpd,66.15198,11912,67.9,10488,66.55,georgia,2021-05-04T17:41:56.389976Z
13313,Whitfield,36766,24711,23,23,None,100,36766,100%,100% reported,edison,10,unknown,,18126,,,10680,25644,442,0,7837,16628,246,0,2020-12-04T23:44:09Z,40.70065,R+41,Trump +41,republican,trumpd,40.70065,30776,44.2,26876,45,georgia,2021-05-04T17:41:56.389976Z
13315,Wilcox,3279,2245,6,6,None,100,3279,100%,100% reported,edison,10,unknown,,2054,,,861,2402,16,0,577,1660,8,0,2020-12-04T23:44:32Z,46.99604,R+47,Trump +47,republican,trumpd,46.99604,2976,41.8,3129,31.74,georgia,2021-05-04T17:41:56.389976Z
13317,Wilkes,5031,3798,7,7,None,100,5031,100%,100% reported,edison,10,unknown,,3725,,,2160,2823,47,1,1651,2116,31,0,2021-03-07T03:09:52Z,13.17829,R+13,Trump +13,republican,trumpd,13.17829,4486,16.1,4761,11.51,georgia,2021-05-04T17:41:56.389976Z
13319,Wilkinson,4770,2926,9,9,Released as a separate subtotal as first report of the night,100,4770,100%,100% reported,edison,10,unknown,,2746,,,2074,2665,31,0,1544,1368,14,0,2020-12-04T23:45:04Z,12.38994,R+12,Trump +12,republican,trumpd,12.38994,4297,10.2,4450,1.46,georgia,2021-05-04T17:41:56.389976Z
13321,Worth,9285,5903,15,15,None,100,9285,100%,100% reported,edison,10,unknown,,5098,,,2395,6830,60,0,1814,4051,38,0,2020-12-04T23:47:48Z,47.76521,R+48,Trump +48,republican,trumpd,47.76521,8319,49.7,8419,40.17,georgia,2021-05-04T17:41:56.389976Z
